K,no_shared_time,no_shared_throughput,shared_time,shared_throughput
2,0.00033,6407130746.87,0.00015,14391839031.67
4,0.00046,9028720265.75,0.00025,17037362596.88
8,0.00064,13145233676.64,0.00049,16959863488.57
16,0.00108,15563418445.99,0.00098,17063679951.02
32,0.00192,17504221710.76,0.00197,17020392448.40
64,0.00352,19046281970.57,0.00371,18081785219.77
128,0.00673,19928041848.08,0.00611,21973207062.70
256,0.01319,20350778735.12,0.01215,22085086573.05
512,0.02579,20807433096.23,0.02433,22051476774.09
1024,0.04755,22558506947.33,0.04840,22161794317.04
