p1,2,3,4,5,6,7,8,9,10,
1,0.24761 0.24787 0.22426 0.23095 0.22615 0.22253 0.24378 0.22490 0.22432 0.22373
2,0.28748 0.23069 0.22860 0.23234 0.22637 0.22882 0.23308 0.22772 0.23251 0.23115
3,0.25177 0.23788 0.23351 0.23448 0.23783 0.23646 0.23467 0.23847 0.24190 0.23675
4,0.25759 0.26090 0.24178 0.25085 0.24061 0.24049 0.24046 0.23982 0.24544 0.24062
5,0.28203 0.24585 0.25214 0.26437 0.24771 0.27495 0.24656 0.25004 0.24836 0.24989
6,0.32081 0.27809 0.26084 0.26070 0.25167 0.25413 0.25379 0.25522 0.25298 0.25218
7,0.65484 0.26397 0.28659 0.26235 0.26330 0.26760 0.29715 0.26292 0.29143 0.26582
8,0.62226 0.27562 0.27176 0.26882 0.29859 0.27445 0.27054 0.41710 0.27651 0.27323
9,0.98142 0.45486 0.43992 0.45345 0.44281 0.43924 0.43865 0.44283 0.43665 0.49509
10,2.13448 0.48836 0.45041 0.44580 0.44352 0.44384 0.44369 0.45273 0.45582 0.44517
11,2.21444 0.44900 0.46708 0.45513 0.46853 0.44496 0.44989 0.45626 0.45423 0.45025
12,0.46868 1.90050 0.46394 0.46129 0.45258 0.45103 0.45643 0.46077 0.45211 0.45105
13,0.46046 0.45640 0.46272 0.46937 0.45796 0.47425 0.45794 0.47205 0.45867 4.30655
14,0.46837 0.60246 0.47778 0.48446 0.47915 0.47729 0.51168 0.47603 0.50357 0.52106
15,0.57269 0.58092 0.58856 0.58330 0.56750 0.53916 0.53115 0.53750 0.54298 0.54621
16,0.55755 0.57321 0.94252 0.58991 0.49551 0.49977 0.78235 2.93304 0.50104 0.48337
